"","region","Median.smooth","lower.smooth","upper.smooth","Year"
"367","Oceania",770417.634061478,625675.170716643,949183.161695766,2020
"368","Sub-Saharan Africa",93766087.4648575,68748364.6164523,132890981.302148,2020
"369","Asia",434446626.123112,355579457.188814,531368722.347945,2025
"370","Europe, EU",12480961.0774521,10118925.4207692,15505352.1076657,2025
"371","Europe, non-EU",22615618.292423,17263897.3903133,29638343.9503268,2025
"372","Latin America and the Caribbean",16915063.5893863,13015014.5950514,22685184.960859,2025
"373","Middle East & North Africa",27198204.0114828,21707736.3474589,34183942.1791876,2025
"374","Northern America",1478718.76930235,1241395.60475283,1761992.29421846,2025
"375","Oceania",808276.238943229,654275.740404193,998989.960340425,2025
"376","Sub-Saharan Africa",100646085.82971,73492385.68979,143178165.196719,2025
"377","Asia",427221187.011021,348383216.25651,524507037.113416,2030
"378","Europe, EU",11416707.8312667,9216298.43212695,14244564.450635,2030
"379","Europe, non-EU",21059520.6822807,16051228.4690913,27642734.5550248,2030
"380","Latin America and the Caribbean",16264385.7593163,12487917.3752029,21840333.5314559,2030
"381","Middle East & North Africa",27542066.6526667,21918629.9720813,34715985.7829382,2030
"382","Northern America",1347156.89981528,1122444.89039373,1617666.97331751,2030
"383","Oceania",840105.109029029,678015.533086999,1041343.47564772,2030
"384","Sub-Saharan Africa",107148690.279252,77944608.9042963,152958796.975781,2030
"385","Asia",416391689.534679,338253809.926886,513255929.581981,2035
"386","Europe, EU",10337613.619844,8304048.2637874,12962003.4696005,2035
"387","Europe, non-EU",19411265.1039241,14758592.5525603,25545468.5357551,2035
"388","Latin America and the Caribbean",15513077.4448861,11886700.2710661,20854219.8280041,2035
"389","Middle East & North Africa",27682538.8346304,21966724.7370934,34993628.6004264,2035
"390","Northern America",1222371.84514399,1009579.67959427,1481043.13793142,2035
"391","Oceania",866919.019849456,697710.510471536,1077496.79614663,2035
"392","Sub-Saharan Africa",113415330.84791,82200920.9905395,162447228.694344,2035
"393","Asia",402522632.631619,325686459.329633,498246222.574767,2040
"394","Europe, EU",9266513.70255359,7401237.90767179,11685196.5027775,2040
"395","Europe, non-EU",17717805.8040687,13425784.5957235,23400443.594426,2040
"396","Latin America and the Caribbean",14685211.3648167,11229855.3457571,19759877.3811617,2040
"397","Middle East & North Africa",27629525.3712033,21861540.0680791,35026706.8128956,2040
"398","Northern America",1104523.18245703,903086.001228509,1352061.37800106,2040
"399","Oceania",887904.645616938,712755.532244769,1106363.74588201,2040
"400","Sub-Saharan Africa",119266710.288396,86144365.9501143,171361187.616144,2040
"401","Asia",386178515.239373,311176385.594444,480108738.912904,2045
"402","Europe, EU",8226243.33876507,6526930.35570139,10441670.8883809,2045
"403","Europe, non-EU",16026097.0294299,12092599.553584,21261557.4329458,2045
"404","Latin America and the Caribbean",13804860.2378289,10535874.662392,18590339.7215867,2045
"405","Middle East & North Africa",27392931.0762151,21612595.3906224,34825056.6015892,2045
"406","Northern America",993770.488922943,803249.884170534,1230662.28346729,2045
"407","Oceania",902248.660543904,722545.458093666,1126858.14889872,2045
"408","Sub-Saharan Africa",124523531.35342,89657987.7846153,179418401.004918,2045
"409","Asia",367923836.295475,295218809.85101,459474301.417519,2050
"410","Europe, EU",7239637.787848,5700188.59979744,9258953.96462607,2050
"411","Europe, non-EU",14383093.0267233,10798832.3811449,19182707.7532228,2050
"412","Latin America and the Caribbean",12896096.7826438,9823250.28408697,17378640.3799373,2050
"413","Middle East & North Africa",26982660.7634951,21229410.1303074,34398514.1477506,2050
"414","Northern America",890273.341710273,710357.357294417,1116786.44427098,2050
"415","Oceania",909137.738842783,726475.147705192,1137893.82924165,2050
"416","Sub-Saharan Africa",129006496.795697,92624830.4956369,186336596.124403,2050
"417","Asia",348323094.737458,278308953.229024,436973732.90974,2055
"418","Europe, EU",6329532.30917197,4940075.63188121,8164573.06972794,2055
"419","Europe, non-EU",12835748.0426641,9584278.03340914,17217792.2571655,2055
"420","Latin America and the Caribbean",11982993.7179823,9110474.27395822,16157812.8868715,2055
"421","Middle East & North Africa",26408619.2468731,20721503.712718,33756915.6326233,2055
"422","Northern America",794191.317987568,624694.449474235,1010374.45035301,2055
"423","Oceania",907758.554726005,723939.460766314,1138384.61095564,2055
"424","Sub-Saharan Africa",132536309.367936,94927938.0847737,191833500.238334,2055
"425","Asia",327940789.502854,260942036.858177,413237856.210696,2060
"426","Europe, EU",5518762.16210655,4265654.44387393,7186055.54190167,2060
"427","Europe, non-EU",11431016.323968,8488731.46537997,15420708.6466821,2060
"428","Latin America and the Caribbean",11089623.7625654,8416038.69512188,14960890.7730474,2060
"429","Middle East & North Africa",25680711.3401784,20098395.5634383,32910097.2374506,2060
"430","Northern America",705683.994923374,546547.189584062,911366.891654235,2060
"431","Oceania",897297.782405996,714333.256963997,1127244.31808557,2060
"432","Sub-Saharan Africa",134933671.822851,96450354.5536204,195626840.610448,2060
"433","Asia",307341419.529195,243613281.868161,388897494.141514,2065
"434","Europe, EU",4830162.60602134,3695988.02769686,6350928.71936237,2065
"435","Europe, non-EU",10215852.1173503,7551987.63206042,13845354.6236809,2065
"436","Latin America and the Caribbean",10240059.635114,7758435.6106941,13820907.5691231,2065
"437","Middle East & North Africa",24808841.8572407,19369605.1080524,31867895.143476,2065
"438","Northern America",624910.949686237,476201.606497976,819704.358115535,2065
"439","Oceania",876942.096095187,697051.395985209,1103386.7746763,2065
"440","Sub-Saharan Africa",136019286.913154,97075123.9037715,197434344.504482,2065
"441","Asia",286127822.475067,225955833.020947,363536839.805278,2070
"442","Europe, EU",4241836.64898627,3212758.60573783,5632820.25072262,2070
"443","Europe, non-EU",9145510.40335642,6735823.43037756,12440954.5019621,2070
"444","Latin America and the Caribbean",9414870.09592529,7122580.94320676,12711427.6809828,2070
"445","Middle East & North Africa",23789546.1229673,18530786.646443,30628491.5538127,2070
"446","Northern America",551756.500224691,413412.320047452,735480.472308575,2070
"447","Oceania",847616.048622226,672793.050790183,1068028.83892926,2070
"448","Sub-Saharan Africa",135923474.564506,96885026.8659003,197466291.77195,2070
"449","Asia",263549847.328307,207291178.203155,336348625.344611,2075
"450","Europe, EU",3717134.75515052,2785335.16551251,4987566.92689836,2075
"451","Europe, non-EU",8144789.11243565,5976158.94875,11121858.8148367,2075
"452","Latin America and the Caribbean",8579352.73208515,6481646.4236088,11585079.1052453,2075
"453","Middle East & North Africa",22613281.2535391,17571692.6628451,29184127.65102,2075
"454","Northern America",486024.209403405,357768.640735688,658851.934353476,2075
"455","Oceania",810774.763945999,642652.908764911,1023094.72644582,2075
"456","Sub-Saharan Africa",134889172.181185,96036112.4840752,196110700.297976,2075
"457","Asia",239642510.020332,187647053.231448,307376482.139958,2080
"458","Europe, EU",3256763.36800247,2414310.84663385,4416009.79955975,2080
"459","Europe, non-EU",7214956.91615897,5274003.92941821,9889654.59347924,2080
"460","Latin America and the Caribbean",7734673.50249769,5836507.82764202,10443490.7586703,2080
"461","Middle East & North Africa",21280834.7496951,16492989.8593703,27535728.0855095,2080
"462","Northern America",427752.521765122,309308.633444346,589853.950513791,2080
"463","Oceania",766400.772974282,606619.101234996,968559.297370786,2080
"464","Sub-Saharan Africa",132906008.733831,94521327.2299835,193351904.396716,2080
"465","Asia",214440826.482557,167051193.922489,276664041.571763,2085
"466","Europe, EU",2861428.93103052,2100278.78871486,3918989.92037695,2085
"467","Europe, non-EU",6357282.48609738,4630368.11462262,8745928.8690645,2085
"468","Latin America and the Caribbean",6881998.36606698,5188040.93104824,9288291.55801726,2085
"469","Middle East & North Africa",19792994.1121747,15295344.9381306,25684217.5076934,2085
"470","Northern America",376979.881852587,268070.363055089,528521.727053073,2085
"471","Oceania",714476.606614855,564679.759526043,904397.411848964,2085
"472","Sub-Saharan Africa",129963613.193083,92333617.5753128,189174238.382323,2085
"473","Asia",187979812.646398,145531336.092942,244254935.020469,2090
"474","Europe, EU",2531837.88772305,1843832.13136849,3497348.3410201,2090
"475","Europe, non-EU",5573034.49382191,4046261.2466037,7692268.67276713,2090
"476","Latin America and the Caribbean",6022493.28169714,4537121.50956926,8121110.42004605,2090
"477","Middle East & North Africa",18150546.841717,13979424.6012377,23630520.5679834,2090
"478","Northern America",333744.734208543,234091.894449576,474890.470234873,2090
"479","Oceania",654984.795775495,516823.014963653,830583.930025152,2090
"480","Sub-Saharan Africa",126051614.529581,89465929.9917504,183562036.56895,2090
"481","Asia",160294484.443273,123115215.559469,210192793.86652,2095
"482","Europe, EU",2268696.68156846,1645564.01420774,3151926.11315937,2095
"483","Europe, non-EU",4863481.61090357,3522693.06760189,6730261.0357618,2095
"484","Latin America and the Caribbean",5157324.20829224,3884625.33894688,6943576.26151629,2095
"485","Middle East & North Africa",16354280.4390612,12545895.5508034,21375561.9167915,2095
"486","Northern America",298085.523375737,207411.292509471,428995.386322745,2095
"487","Oceania",587907.871363982,463036.99887343,747093.712044151,2095
"488","Sub-Saharan Africa",121159641.713964,85911210.9509836,176499633.270752,2095
"489","Asia",131419857.804596,99830568.1387352,174521249.490359,2100
"490","Europe, EU",2072711.75605513,1506067.57684559,2883564.28846491,2100
"491","Europe, non-EU",4229892.50891339,3060673.31985764,5861492.9892232,2100
"492","Latin America and the Caribbean",4287657.1047564,3231428.19492291,5757317.99918766,2100
"493","Middle East & North Africa",14404982.4049465,10995424.4889395,18920266.2045295,2100
"494","Northern America",270040.693896911,188066.622116434,390871.681580239,2100
"495","Oceania",513228.364288093,403309.842580979,653901.618050764,2100
"496","Sub-Saharan Africa",115277323.716872,81662406.9246997,167971362.801881,2100
