"","region","Median.smooth","lower.smooth","upper.smooth","Year"
"235","Europe, non-EU",27926239.4858161,21192299.0861619,36862309.0135382,1999
"236","Latin America and the Caribbean",18373994.4350171,14307908.6965451,24421514.0331432,1999
"237","Middle East & North Africa",22589048.5821808,18298278.6038824,27978162.4337203,1999
"238","Northern America",2251400.5217383,1935345.69671382,2619217.73740371,1999
"239","Oceania",597638.610679294,493312.566859113,724743.635943847,1999
"240","Sub-Saharan Africa",62064555.9804996,46153876.7768181,87027681.4200012,1999
"241","Asia",418763718.470572,347689518.814728,505196076.213934,2000
"242","Europe, EU",16797094.5693297,13814413.6226398,20576325.1366273,2000
"243","Europe, non-EU",27949163.7170145,21262293.3936016,36786106.7683261,2000
"244","Latin America and the Caribbean",18376692.249034,14302805.4427801,24436672.5734196,2000
"245","Middle East & North Africa",22860460.4150817,18509600.0046265,28327451.6515692,2000
"246","Northern America",2210458.28943528,1899177.13135161,2572911.37700777,2000
"247","Oceania",604907.093756006,498906.452671477,734147.026466341,2000
"248","Sub-Saharan Africa",63543733.371571,47239760.0457958,89102415.7730549,2000
"249","Asia",421037652.409994,349620010.125723,507838016.791394,2001
"250","Europe, EU",16674594.5887844,13704242.6915353,20442307.930292,2001
"251","Europe, non-EU",27935837.5981611,21291397.8524076,36689307.0337268,2001
"252","Latin America and the Caribbean",18379339.1977442,14298184.5199908,24450463.4055231,2001
"253","Middle East & North Africa",23114581.1404427,18706998.8434414,28655066.3419489,2001
"254","Northern America",2173228.07729818,1866231.33205783,2530880.3052884,2001
"255","Oceania",612466.731298891,504735.10319613,743911.068454188,2001
"256","Sub-Saharan Africa",65045269.0033272,48337433.885993,91217550.6602468,2001
"257","Asia",423104204.330085,351351778.792944,510269696.163931,2002
"258","Europe, EU",16557454.7969483,13599620.7927438,20312443.9654206,2002
"259","Europe, non-EU",27901480.9182456,21298413.5988511,36577439.2935879,2002
"260","Latin America and the Caribbean",18380741.4612598,14292560.3695598,24462460.7300672,2002
"261","Middle East & North Africa",23363972.8657802,18900097.7249214,28977406.3198271,2002
"262","Northern America",2137317.06532203,1834402.71961193,2490404.66135381,2002
"263","Oceania",620250.272988686,510729.214527164,753974.043070274,2002
"264","Sub-Saharan Africa",66594282.7548257,49468465.8664949,93400833.4598327,2002
"265","Asia",424987815.573628,352905624.974019,512520299.24995,2003
"266","Europe, EU",16442518.3391837,13497692.8142053,20183420.5699583,2003
"267","Europe, non-EU",27846947.140114,21284830.7946983,36449816.2308937,2003
"268","Latin America and the Caribbean",18379624.3112135,14284966.546094,24470945.0519444,2003
"269","Middle East & North Africa",23607863.2970257,19088299.4052687,29293517.1013805,2003
