Country Name,Country Code,Series Name,Series Code,Version Name,Version Code,1960 [YR1960],1970 [YR1970]
United States,USA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,15482.707759617,21183.2177948312
Uruguay,URY,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,3151.96045377981,3264.80398295733
Uzbekistan,UZB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Vanuatu,VUT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Venezuela,VEN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,5526.76388262078,6361.32561360561
Vietnam,VNM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Virgin Islands,VIR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
West Bank and Gaza,PSE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Yemen,YEM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
"Yemen, PDR",YMD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Zambia,ZMB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,939.934975445494,985.084527837567
Zimbabwe,ZWE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,491.211279856559,650.583090802517
,,,,,,,
,,,,,,,
,,,,,,,
Data from database: WDI Database Archives,,,,,,,
Last Updated: 11/05/2021,,,,,,,
